,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
11,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey",ZH,mep_2030,1130.3423476550877,757247.4244909519,1139804.240152959,11986203.432592334,97.7231566846613,238.82007083508827,2437.283501873448,0.0003727117568279542,0.004519436376584017,48884.27759429235,1366026.7185965725,3.1986560758784925,0.029505095374476438,0.009247157518377977,1709.8845035379695,76815.85761639345
12,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue",ZH,mep_2030,1159.3368430706666,430676.47591276263,1153304.6363843177,12078461.099802805,105.95524792344567,244.26770136777546,2477.8278740189025,0.0003757532939347103,0.004610109447783514,55126.8588176633,1404791.1152048318,3.2289033387159787,0.02932119595536771,0.009382668606461352,1715.7545297768504,81055.90730352447
13,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, yellow",ZH,mep_2030,3961.696191391913,844941.5820665739,3128212.834932544,17873168.329634964,674.2488032262759,672.6246055470252,6122.230845570033,0.0007464086105314804,0.019768825641926016,443986.45788493776,4098601.9768120074,14.295948322874056,0.023154126986542022,0.023432012512767095,2400.5059297978646,355324.2957876897
14,"transport, freight, inland barge, HFC, grey | transport, freight, inland barge, HFC, grey | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, grey","transport, freight, inland barge, HFC, grey",ZH,mep_2030,2223.675213764731,534331.3922941122,1652383.5516399248,8495702.132686965,108.3622089850792,282.88162718949724,3340.9785586337325,0.00045488639705846775,0.005334665640031329,39475.77219380489,1494149.9814586353,6.690337372610264,0.09957527445482722,0.013096157655865883,1681.4528659613352,97530.77787778333
15,"transport, freight, inland barge, HFC, blue | transport, freight, inland barge, HFC, blue | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, blue","transport, freight, inland barge, HFC, blue",ZH,mep_2030,2242.309208625332,324452.88638437865,1661059.8990081258,8554993.693792306,113.65275616090987,286.38267516062405,3367.0353535996746,0.00045684111246231603,0.005392938823216942,43487.71393536359,1519062.8332541017,6.70977648793828,0.09945708716508742,0.013183247045858992,1685.2253764740756,100255.74559825109
16,"transport, freight, inland barge, HFC, yellow | transport, freight, inland barge, HFC, yellow | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, HFC, yellow","transport, freight, inland barge, HFC, yellow",ZH,mep_2030,4043.3113969967367,590690.1065309912,2930281.132019761,12279098.672745539,478.8799841932051,561.6763209569697,5709.196693829915,0.0006950514749992166,0.01513504454385059,293397.4870374189,3250303.781963802,13.822273408511139,0.09549367515108358,0.022212388556777908,2125.296979235157,276520.7803294265
17,"transport, freight, inland barge, battery-electric | transport, freight, inland barge, battery-electric | ZH | ton kilometer | mep_2030",11689225.0,ton kilometer,"transport, freight, inland barge, battery-electric","transport, freight, inland barge, battery-electric",ZH,mep_2030,1374.2098660553488,260846.58862388757,1310120.6845276547,5252930.251481928,202.80250805640125,232.94508186557744,2200.4958969599124,0.00040191764152275073,0.00721894869083846,120853.29869645905,1795290.798819606,6.964280586372276,0.006134412629646598,0.010477453105754295,1065.8247955096383,120279.07798437035
18,"transport, freight, inland barge, Stage I standard, MGO | transport, freight, inland barge, Stage I standard, MGO | ZH | ton kilometer | mep_2050",11689225.0,ton kilometer,"transport, freight, inland barge, Stage I standard, MGO","transport, freight, inland barge, Stage I standard, MGO",ZH,mep_2050,1749.4163317606956,439499.35760100983,5149521.800486733,5491345.196632641,30.144492399266607,849.7209560156358,4713.305005205679,0.004355084519103791,0.02331394666793432,4131.381935049059,15953961.159871025,1.6442559286473197,0.01227327746683794,0.017091845850458184,3757.515078735022,427053.2674888611
19,"transport, freight, inland barge, Stage V Mitsubishi, MGO | transport, freight, inland barge, Stage V Mitsubishi, MGO | ZH | ton kilometer | mep_2050",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, MGO","transport, freight, inland barge, Stage V Mitsubishi, MGO",ZH,mep_2050,1690.6986439801676,417541.95903532463,4856542.341793281,5317121.902781436,29.83018829912565,812.6775524276924,4542.921518923189,0.002951668245777164,0.006513691256213915,4080.6240404661617,15183227.882275855,1.6534523641459622,0.011874360561344182,0.016623438912891874,1428.9555782756015,416929.6602155854
20,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey | ZH | ton kilometer | mep_2050",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, grey",ZH,mep_2050,848.136092605333,681061.9292671212,1029930.4987591894,10323091.15005279,33.45951726073878,185.29420112722366,1928.533739798555,0.00036458793930100697,0.0038874918921468745,6780.861643307014,1628843.680253958,3.039306633898119,0.02860307808981255,0.008144953550337376,1536.2602155746404,61143.66862777868
21,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue | ZH | ton kilometer | mep_2050",11689225.0,ton kilometer,"transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue","transport, freight, inland barge, Stage V Mitsubishi, hydrogen, blue",ZH,mep_2050,849.5534230333867,346186.2398708056,1034704.2612505363,10218710.21144472,33.90593483741785,184.81952264070458,1921.014356487417,0.00036736191815239967,0.0039290166492336595,7680.712437300462,1692290.3835689656,3.0822796407216653,0.02828474901059394,0.008194706758803632,1526.6356135866015,63424.07095731614
